year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,-0.1,-0.91,-0.06,-0.41,0.0,0.0,-0.09,-0.21,0.0,
2020,0.0,0.57,7.94,-2.51,0.68,1.76,0.62,0.0,0.0,0.0,3.15,-1.41,10.95
2021,0.0,-0.84,-0.48,2.22,0.19,0.0,0.42,1.73,1.58,-0.93,-0.09,-0.42,3.13
2022,0.0,1.19,-1.5,0.0,-0.35,0.03,0.44,-0.24,-0.23,0.0,-0.17,-0.12,0.62
2023,0.0,0.0,0.0,0.0,-0.29,-0.43,0.0,0.0,-0.05,-0.42,0.0,0.0,-1.18
2024,0.0,0.0,0.0,1.79,2.55,-2.73,2.32,-1.5,0.06,0.16,0.1,0.13,2.17
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86,1.1,-1.1
2026,0.0,-1.96,0.0,-0.44,0.0,,,,,,,,0.43
