date,total_equity,cash,unrealized_pnl,daily_return,cumulative_return,position_lots
2021-03-19,1000000.0,1000000.0,0.0,,0.0,0
2021-03-22,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-03-23,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-03-24,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-03-25,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-03-26,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-03-29,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-03-30,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-03-31,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-01,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-02,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-06,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-07,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-08,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-09,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-12,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-13,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-14,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-15,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-16,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-19,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-20,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-21,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-22,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-23,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-26,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-27,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-28,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-29,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-04-30,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-05-06,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-05-07,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-05-10,1000000.0,1000000.0,0.0,0.0,0.0,0
2021-05-11,1000144.0,1000000.0,144.0,0.00014399999999992197,0.00014399999999992197,1
2021-05-12,995264.0,1000000.0,-4736.0,-0.0048792973811770946,-0.0047359999999999625,1
2021-05-13,999024.0,1000000.0,-976.0,0.0037778920969713248,-0.0009759999999999769,1
2021-05-14,999824.0,1000000.0,-176.0,0.000800781562805275,-0.00017599999999995397,1
2021-05-17,1000304.0,1000000.0,304.0,0.0004800844948711358,0.000304000000000082,1
2021-05-18,1005984.0,1000000.0,5984.0,0.0056782738047633785,0.005983999999999989,1
2021-05-19,1037808.0,1000000.0,37808.0,0.0316346979673634,0.037808000000000064,2
2021-05-20,1034672.0,1000000.0,34672.0,-0.003021753542081007,0.034672000000000036,3
