year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2023,,,0.0,0.95,6.84,-2.31,-0.08,-0.09,-0.3,0.5,0.0,0.0,
2024,0.0,0.0,1.26,-0.03,-0.51,-0.3,0.81,0.86,0.64,1.56,-0.33,0.97,5.02
2025,0.0,1.25,1.23,2.66,2.87,-0.63,0.31,-0.88,0.0,0.0,-0.2,-0.17,6.69
2026,0.0,0.0,0.0,0.0,-0.08,,,,,,,,-0.08
