year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,,,,,,,,0.0,-0.34,0.0,
2020,0.0,-0.4,-1.74,1.18,-0.57,0.0,-0.24,-2.02,0.0,0.0,0.08,-0.81,-4.47
2021,0.0,-1.18,-0.32,0.12,3.29,-2.67,0.11,-2.43,0.04,-1.98,-0.32,0.02,-4.69
2022,0.0,-0.44,-0.26,-0.44,-0.34,0.19,2.31,-0.75,0.88,-2.4,-0.35,-1.22,-2.97
2023,0.0,-1.93,0.0,0.16,2.55,-0.39,3.55,-3.58,0.0,0.0,0.0,-0.08,0.11
2024,0.0,-0.67,0.0,-0.92,-0.29,-0.52,-0.08,-0.08,-0.84,-0.98,0.0,0.08,-4.68
2025,0.0,-0.35,-0.55,-1.55,0.0,-2.94,-0.69,0.0,-0.03,0.05,-1.5,-0.48,-8.34
2026,0.0,1.78,-2.57,-1.56,-0.75,,,,,,,,-3.13
