year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,0.0,1.88,0.96,-2.18,0.0,-0.14,-0.59,0.0,0.0,
2020,0.0,0.0,0.05,-0.38,0.0,0.0,0.0,-0.48,-0.01,0.0,-0.13,0.38,-0.55
2021,0.0,0.0,-0.45,0.0,-1.36,0.0,0.0,-0.09,-0.82,-0.07,-0.41,-0.29,-3.13
2022,0.0,1.8,2.41,-1.9,-0.34,-0.08,0.32,-1.09,2.03,-1.9,0.0,0.0,0.68
2023,0.0,-0.2,2.59,-1.53,0.0,0.81,2.45,3.81,0.26,1.18,-0.75,-0.42,8.19
2024,0.0,0.27,-1.97,-0.1,-0.68,-0.14,1.73,1.7,-1.29,0.0,0.0,0.0,0.33
2025,0.0,0.39,0.33,-0.72,-0.36,0.0,0.0,-0.05,0.37,0.35,-1.03,0.0,-0.8
2026,0.0,0.0,-0.85,0.0,0.0,,,,,,,,-2.11
