year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,0.0,2.21,-0.38,-1.16,-0.19,-0.62,-0.62,-0.01,-0.18,
2020,0.0,-0.8,0.34,-1.59,-0.55,0.0,-0.1,0.0,-0.21,1.61,-0.39,0.0,0.29
2021,0.0,0.0,-0.22,-1.51,-0.86,0.0,-0.59,0.0,0.0,0.24,-0.1,0.0,-3.84
2022,0.0,0.52,1.65,-1.48,0.0,-0.78,0.0,0.0,-0.14,0.04,-0.47,-0.49,-1.17
2023,0.0,0.0,1.61,0.18,-0.54,-0.22,4.69,2.55,-0.13,-0.58,0.0,0.35,8.08
2024,0.0,-0.16,-1.09,1.66,1.1,-0.54,2.57,0.74,-0.06,-0.4,-0.09,0.34,6.06
2025,0.0,0.42,-1.14,0.0,0.0,-0.76,0.0,-0.6,0.0,-0.81,-0.23,-0.1,-3.54
2026,0.0,0.0,-0.79,0.05,0.0,,,,,,,,-0.74
