year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,-0.5,-0.03,-1.01,0.0,-0.72,0.0,0.0,0.0,1.35,
2020,0.0,-2.68,1.39,-1.23,0.0,0.0,0.0,0.72,-1.99,-0.18,-1.16,0.06,-6.58
2021,0.0,-0.45,-0.74,0.0,-0.35,0.0,1.44,-0.18,0.05,-0.89,0.26,-0.54,-2.52
2022,0.0,-0.71,0.0,0.0,-0.29,3.97,4.43,-0.91,0.08,1.46,-1.45,0.83,7.23
2023,0.0,-1.84,0.0,0.6,0.17,3.54,2.3,-1.56,0.0,0.12,0.66,-0.18,6.46
2024,0.0,0.07,-0.3,0.0,-1.01,-0.58,1.64,0.95,0.11,-0.61,0.0,0.0,0.56
2025,0.0,0.0,0.0,-0.25,-0.19,0.2,0.06,0.0,0.25,-1.63,0.0,4.05,2.43
2026,0.0,0.0,0.0,0.42,-0.58,,,,,,,,-0.26
