year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,-0.04,-0.32,-0.2,-0.29,-0.08,0.0,-0.36,-0.6,0.0,
2020,0.0,0.0,2.01,0.66,-0.28,0.78,5.12,0.91,-0.36,-0.18,0.06,0.27,9.24
2021,0.0,-0.14,0.26,2.92,1.3,0.02,-0.09,0.04,1.52,2.31,0.16,0.0,8.17
2022,0.0,-1.59,0.0,0.0,0.01,1.08,1.56,-0.65,0.0,0.0,-0.44,0.15,0.63
2023,0.0,-0.04,-0.17,1.38,-1.77,-0.74,-0.07,0.6,0.0,0.0,-0.09,0.35,-1.33
2024,0.0,0.11,1.82,-0.92,-0.09,-0.59,1.1,1.36,0.74,-0.08,-0.21,-0.02,1.64
2025,0.0,-0.22,-0.67,0.14,1.33,-0.45,1.39,0.0,0.0,0.0,-0.14,1.8,2.73
2026,0.0,0.0,0.0,-0.14,0.0,,,,,,,,-0.6
