year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,0.0,0.0,0.0,0.16,-0.75,0.97,-2.36,0.91,-1.04,
2020,0.0,-3.45,3.34,-1.55,0.0,0.0,-1.3,0.07,-1.53,0.74,0.65,1.55,-1.42
2021,0.0,-0.2,-0.88,0.0,-0.56,-0.01,0.52,-1.77,7.86,-3.96,-0.1,0.19,-0.36
2022,0.0,-0.39,-1.29,-0.03,-0.25,-0.01,-1.13,-0.07,0.48,-1.81,0.0,0.0,-5.33
2023,0.0,-1.27,-0.21,1.59,4.14,-0.8,0.06,3.69,-1.27,-0.12,-0.25,0.0,5.41
2024,0.0,-0.06,-0.77,0.0,-0.16,-0.64,-0.44,-0.81,0.0,0.0,-0.49,2.22,-1.19
2025,0.0,0.0,0.0,1.08,-1.3,-0.62,0.06,0.0,0.0,1.5,0.82,-0.0,-0.26
2026,0.0,-0.91,1.01,-1.81,0.0,,,,,,,,-1.01
