year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,0.0,0.0,0.0,0.39,6.17,-1.22,0.0,0.0,0.0,
2020,0.0,0.0,1.62,0.0,0.59,-0.19,7.49,0.7,-0.08,-0.62,0.0,-0.56,7.71
2021,0.0,0.0,0.0,-0.6,0.49,-1.37,-0.18,0.07,0.01,-1.25,0.0,-0.34,-3.14
2022,0.0,0.0,-0.79,0.0,0.07,-0.56,-0.41,0.14,0.0,-0.06,1.75,3.01,3.12
2023,0.0,0.11,-1.16,0.54,-0.71,0.0,-0.57,-0.34,0.0,0.0,0.0,0.0,-3.36
2024,0.0,0.0,0.88,3.67,8.0,-2.92,0.0,-0.92,0.0,-0.28,-0.52,0.0,7.77
2025,0.0,-0.52,0.31,-0.24,0.0,-0.74,-1.06,-0.27,3.03,0.43,0.19,14.95,16.17
2026,0.0,-14.4,-2.39,-0.39,0.0,,,,,,,,12.93
