date,total_equity,cash,unrealized_pnl,daily_return,cumulative_return,position_lots
2019-03-13,1000000.0,1000000.0,0.0,,0.0,0
2019-03-14,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-15,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-18,1000000.0,1000000.0,0.0,0.0,0.0,0
2019-03-19,998600.0,1000000.0,-1400.0,-0.0013999999999999568,-0.0013999999999999568,8
2019-03-20,998160.0,1000000.0,-1840.0,-0.0004406168636090779,-0.0018399999999999528,8
2019-03-21,998720.0,1000000.0,-1280.0,0.0005610322994309414,-0.0012799999999999478,8
2019-03-22,998000.0,1000000.0,-2000.0,-0.0007209227811598717,-0.0020000000000000018,8
2019-03-25,998640.0,1000000.0,-1360.0,0.0006412825651302967,-0.0013600000000000279,8
2019-03-26,995960.0,1000000.0,-4040.0,-0.0026836497636786305,-0.0040400000000000436,8
2019-03-27,996560.0,1000000.0,-3440.0,0.0006024338326839906,-0.0034399999999999986,8
2019-03-28,996880.0,1000000.0,-3120.0,0.00032110459982348516,-0.0031200000000000117,8
2019-03-29,995360.0,1000000.0,-4640.0,-0.0015247572425969302,-0.0046399999999999775,8
2019-04-01,997720.0,1000000.0,-2280.0,0.0023710014467126506,-0.0022799999999999487,8
2019-04-02,997040.0,1000000.0,-2960.0,-0.0006815539429899653,-0.0029599999999999627,8
2019-04-03,997400.0,1000000.0,-2600.0,0.0003610687635400289,-0.0026000000000000467,8
2019-04-04,998400.0,1000000.0,-1600.0,0.0010026067776218728,-0.0016000000000000458,8
2019-04-08,997920.0,1000000.0,-2080.0,-0.00048076923076922906,-0.0020799999999999708,8
2019-04-09,997580.0,1000000.0,-2420.0,-0.00034070867404201177,-0.0024199999999999777,18
2019-04-10,998390.0,1000000.0,-1610.0,0.0008119649551916464,-0.0016100000000000003,18
2019-04-11,998210.0,1000000.0,-1790.0,-0.00018029026733035192,-0.0017899999999999583,18
2019-04-12,1000820.0,1000000.0,820.0,0.002614680277697179,0.0008200000000000429,18
2019-04-15,1000910.0,1000000.0,910.0,8.992626046633312e-05,0.0009099999999999664,18
2019-04-16,999290.0,1000000.0,-710.0,-0.001618527140302306,-0.0007099999999999884,18
2019-04-17,999110.0,1000000.0,-890.0,-0.00018012789080246172,-0.0008899999999999464,18
2019-04-18,1001720.0,1000000.0,1720.0,0.0026123249692227013,0.0017199999999999438,18
2019-04-19,1004780.0,1000000.0,4780.0,0.0030547458371601444,0.0047800000000000065,18
2019-04-22,1000910.0,1000000.0,910.0,-0.0038515894026552866,0.0009099999999999664,18
2019-04-23,1004240.0,1000000.0,4240.0,0.0033269724550659685,0.0042400000000000215,18
2019-04-24,1002800.0,1000000.0,2800.0,-0.0014339201784433486,0.0027999999999999137,18
2019-04-25,1002260.0,1000000.0,2260.0,-0.0005384922217790411,0.0022599999999999287,18
2019-04-26,999200.0,1000000.0,-800.0,-0.003053099994013486,-0.0008000000000000229,18
2019-04-29,996950.0,1000000.0,-3050.0,-0.0022518014411528897,-0.003049999999999997,18
2019-04-30,1005230.0,1000000.0,5230.0,0.008305331260344051,0.005230000000000068,18
2019-05-06,1007480.0,1000000.0,7480.0,0.002238293723824336,0.007479999999999931,18
2019-05-07,1010180.0,1000000.0,10180.0,0.0026799539444952725,0.010180000000000078,18
2019-05-08,1009460.0,1000000.0,9460.0,-0.0007127442633986236,0.009460000000000024,18
