year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,0.0,0.0,0.0,0.02,-0.32,0.0,0.0,0.0,0.0,
2020,0.0,-0.52,0.0,1.43,-0.87,0.0,0.0,0.0,-1.13,0.0,-0.35,-0.97,-3.12
2021,0.0,0.0,0.0,-0.19,-0.03,0.0,0.0,-0.34,-0.05,0.0,-0.46,-0.24,-2.46
2022,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,2.91,-0.55,0.0,0.0,-0.03,1.75
2023,0.0,0.0,0.28,4.0,-1.1,-0.2,0.0,-0.09,-0.96,0.0,0.0,-0.59,0.82
2024,0.0,0.0,0.0,-0.69,-0.35,0.0,0.0,-0.43,-0.52,0.0,0.0,0.0,-2.17
2025,0.0,0.0,-0.1,-1.63,0.4,-0.06,0.0,0.0,-0.13,0.18,0.07,-1.56,-2.81
2026,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
