year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,-3.76,0.0,0.12,-0.47,0.3,0.57,-0.09,1.69,4.62,
2020,0.0,1.28,0.16,-0.37,-0.3,-0.75,3.99,-0.35,-0.49,0.0,-0.09,0.1,1.64
2021,0.0,0.0,-1.27,0.13,0.0,-0.4,-0.09,-1.24,0.0,0.29,-2.33,-1.48,-6.7
2022,0.0,4.3,-1.55,0.0,0.0,0.38,2.79,0.61,0.04,-2.53,-0.59,0.0,3.69
2023,0.0,-0.09,-1.21,-0.01,1.55,-2.52,-0.58,-0.37,0.0,-0.02,-0.57,0.0,-3.8
2024,0.0,-0.02,2.84,-1.89,0.0,0.0,0.0,-0.61,0.16,2.77,2.12,-2.56,2.28
2025,0.0,-1.46,-0.38,-0.05,-0.43,0.0,1.01,2.51,-0.19,0.0,-0.49,-0.47,-0.33
2026,0.0,-1.9,-0.08,-0.45,0.0,,,,,,,,-1.19
