date,total_equity,cash,unrealized_pnl,daily_return,cumulative_return,position_lots
2019-03-13,1000000.0,1000000.0,0.0,,0.0,0
2019-03-14,1001200.0,1000000.0,1200.0,0.0012000000000000899,0.0012000000000000899,3
2019-03-15,1002700.0,1000000.0,2700.0,0.0014982021574110327,0.0026999999999999247,6
2019-03-18,1001860.0,1000000.0,1860.0,-0.0008377381071108525,0.0018599999999999728,6
2019-03-19,1003300.0,1000000.0,3300.0,0.001437326572575115,0.0033000000000000806,6
2019-03-20,999460.0,1000000.0,-540.0,-0.0038273696800558143,-0.0005399999999999849,9
2019-03-21,998920.0,1000000.0,-1080.0,-0.0005402917575491051,-0.0010799999999999699,9
2019-03-22,1001260.0,1000000.0,1260.0,0.0023425299323269755,0.0012600000000000389,9
2019-03-25,1004860.0,1000000.0,4860.0,0.003595469708167709,0.0048600000000000865,9
2019-03-26,1004320.0,1000000.0,4320.0,-0.0005373882928965124,0.0043200000000001015,9
2019-03-27,1003780.0,1000000.0,3780.0,-0.0005376772343476111,0.0037799999999998946,9
2019-03-28,1009180.0,1000000.0,9180.0,0.005379664866803413,0.009179999999999966,9
2019-03-29,1014220.0,1000000.0,14220.0,0.00499415366931566,0.0142199999999999,9
2019-04-01,1012060.0,1000000.0,12060.0,-0.0021297154463528756,0.01205999999999996,9
2019-04-02,1008460.0,1000000.0,8460.0,-0.0035571013576269905,0.008459999999999912,9
2019-04-03,1005220.0,1000000.0,5220.0,-0.003212819546635437,0.005220000000000002,9
2019-04-04,1002160.0,1000000.0,2160.0,-0.003044109747119994,0.0021599999999999397,9
2019-04-08,1002520.0,1000000.0,2520.0,0.00035922407599575656,0.0025200000000000777,9
2019-04-09,996400.0,1000000.0,-3600.0,-0.006104616366755744,-0.0036000000000000476,9
2019-04-10,976060.0,976060.0,0.0,-0.020413488558811754,-0.02393999999999996,0
2019-04-11,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-12,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-15,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-16,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-17,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-18,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-19,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-22,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-23,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-24,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-25,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-26,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-29,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-04-30,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-06,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-07,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-08,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-09,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-10,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-13,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-14,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-15,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-16,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-17,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-20,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-21,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-22,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-23,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-24,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-27,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-28,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-29,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-30,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-05-31,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-06-03,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-06-04,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-06-05,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-06-06,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-06-10,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-06-11,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-06-12,976060.0,976060.0,0.0,0.0,-0.02393999999999996,0
2019-06-13,975160.0,976060.0,-900.0,-0.0009220744626354804,-0.024839999999999973,3
2019-06-14,974620.0,976060.0,-1440.0,-0.0005537552811846203,-0.025379999999999958,3
2019-06-17,975100.0,976060.0,-960.0,0.000492499640885713,-0.024900000000000033,3
2019-06-18,974980.0,976060.0,-1080.0,-0.0001230643010973198,-0.025020000000000042,3
2019-06-19,975280.0,976060.0,-780.0,0.00030769861945878496,-0.024719999999999964,3
2019-06-20,975760.0,976060.0,-300.0,0.0004921663522270414,-0.02424000000000004,3
2019-06-21,976060.0,976060.0,-0.0,0.00030745265229148444,-0.02393999999999996,3
2019-06-24,977080.0,976060.0,1020.0,0.0010450177243201964,-0.02292000000000005,3
2019-06-25,977420.0,976060.0,1360.0,0.0003479756007696011,-0.022580000000000044,7
2019-06-26,980500.0,976060.0,4440.0,0.0031511530355425865,-0.019499999999999962,7
2019-06-27,976620.0,976060.0,560.0,-0.003957164711881678,-0.023379999999999956,11
2019-06-28,977280.0,976060.0,1220.0,0.0006758002088838033,-0.022719999999999962,11
2019-07-01,975300.0,976060.0,-760.0,-0.002026031434184672,-0.024700000000000055,11
2019-07-02,979920.0,976060.0,3860.0,0.004737003998769529,-0.020079999999999987,11
2019-07-03,983440.0,976060.0,7380.0,0.0035921299697934117,-0.01656000000000002,11
2019-07-04,981680.0,976060.0,5620.0,-0.0017896363784267733,-0.018320000000000003,11
2019-07-05,981900.0,976060.0,5840.0,0.0002241056148644116,-0.018100000000000005,11
2019-07-08,982560.0,976060.0,6500.0,0.0006721662083715163,-0.01744000000000001,11
2019-07-09,989380.0,976060.0,13320.0,0.006941051945937193,-0.010619999999999963,11
2019-07-10,987840.0,976060.0,11780.0,-0.0015565303523418228,-0.012159999999999949,11
2019-07-11,986960.0,976060.0,10900.0,-0.0008908325234855408,-0.013040000000000052,11
2019-07-12,988940.0,976060.0,12880.0,0.0020061603307124365,-0.011059999999999959,11
2019-07-15,982780.0,976060.0,6720.0,-0.006228891540437265,-0.017220000000000013,11
2019-07-16,984540.0,976060.0,8480.0,0.001790838234396297,-0.01546000000000003,11
2019-07-17,986960.0,976060.0,10900.0,0.0024580006906778085,-0.013040000000000052,11
2019-07-18,987180.0,976060.0,11120.0,0.00022290670341251761,-0.012820000000000054,11
2019-07-19,987840.0,976060.0,11780.0,0.0006685710812617263,-0.012159999999999949,11
2019-07-22,985200.0,976060.0,9140.0,-0.0026724975704567333,-0.014800000000000035,11
2019-07-23,981680.0,976060.0,5620.0,-0.0035728786033292215,-0.018320000000000003,11
2019-07-24,975740.0,976060.0,-320.0,-0.006050851601336449,-0.02425999999999995,11
2019-07-25,975080.0,976060.0,-980.0,-0.0006764096993051583,-0.024920000000000053,11
2019-07-26,972660.0,972660.0,0.0,-0.0024818476432703074,-0.02734000000000003,0
2019-07-29,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
2019-07-30,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
2019-07-31,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
2019-08-01,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
2019-08-02,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
2019-08-05,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
2019-08-06,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
2019-08-07,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
2019-08-08,972660.0,972660.0,0.0,0.0,-0.02734000000000003,0
