year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,-0.27,1.92,1.51,-0.57,-0.18,-0.14,-0.14,1.42,-1.21,
2020,0.0,0.0,0.0,0.0,0.13,-0.6,0.0,3.16,-2.75,0.0,-0.74,3.53,0.89
2021,0.0,4.21,-2.37,0.0,0.49,0.24,-0.49,0.0,-1.37,2.12,-0.54,-0.47,7.34
2022,0.0,0.21,0.05,-0.01,-0.66,-0.68,-0.08,0.0,0.0,0.0,-0.31,-3.47,-5.53
2023,0.0,0.0,3.98,2.91,-0.37,-0.26,0.0,0.0,2.0,-1.75,0.06,-0.75,4.97
2024,0.0,0.0,1.26,1.9,-1.34,-0.13,0.64,-0.82,-1.23,0.0,0.0,0.0,0.24
2025,0.0,-0.38,0.29,1.91,-2.18,0.01,-0.36,-0.04,0.77,-0.3,-0.41,0.0,-1.29
2026,0.0,-0.02,0.79,-0.19,0.0,,,,,,,,0.58
