year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年化
2019,,,0.0,0.0,0.0,0.0,1.27,0.44,-0.47,0.0,-0.98,1.74,
2020,0.0,0.52,2.79,-0.99,0.0,-0.43,-0.06,1.66,-1.78,5.74,-2.6,-1.25,2.92
2021,0.0,1.36,-2.35,-0.53,-0.96,-0.18,-0.75,-2.07,0.0,-0.33,-1.68,-0.01,-8.09
2022,0.0,0.0,-0.2,2.46,-0.52,0.0,-0.89,-3.07,-0.3,-0.46,-0.92,-0.65,-4.52
2023,0.0,0.0,0.74,-0.32,0.0,0.0,0.0,0.12,0.86,0.96,0.0,-0.68,1.69
2024,0.0,0.0,-0.26,0.0,-0.39,-1.25,-0.1,-0.36,6.19,-5.68,0.0,0.0,-2.18
2025,0.0,0.0,0.0,0.91,-1.04,-2.08,-0.78,0.09,-1.56,-2.01,0.0,0.0,-7.09
2026,0.0,2.8,-2.49,-0.06,0.21,,,,,,,,0.36
